playlist_index,title,id,view_count,like_count,comment_count,upload_date,upload_date_iso,duration,duration_string,channel,uploader,url
111,Conversaciones productivas sobre codigo (argumentos),1lpcCHfozh0,7,,0,20200901,2020-09-01,1284,21:24,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=1lpcCHfozh0
112,Productive conversations about code (part 2 of 2 -- demo),H4ucsYPrC0g,7,,0,20200901,2020-09-01,2428,40:28,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=H4ucsYPrC0g
113,Productive conversations about code (part 1 of 2),4IXcu1g0zfk,13,,0,20200901,2020-09-01,1732,28:52,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=4IXcu1g0zfk
114,"Comparing remote setup “Ours” versus ""Fork (of ours)""",OFjlPa7Uqeo,101,,0,20200825,2020-08-25,1428,23:48,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=OFjlPa7Uqeo
115,Working with Git and GitHub from RStudio (part 1),h6koYxwQFuE,55,,0,20200818,2020-08-18,1931,32:11,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=h6koYxwQFuE
116,Working with Git and GitHub from RStudio (part 2),-L2A_7XvD6Y,15,,0,20200818,2020-08-18,333,5:33,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=-L2A_7XvD6Y
117,Reusing your usethis setup across multiple rstudio.cloud projects,A_Q6nmUhcGA,31,,0,20200811,2020-08-11,986,16:26,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=A_Q6nmUhcGA
118,"Daily Git workflows: ""Fork and clone"" explained",tetgpXHal5s,23,,0,20200804,2020-08-04,1877,31:17,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=tetgpXHal5s
119,GitHub flow: The case of publishing an new blog post,zv5_OSb6lRo,24,,0,20200728,2020-07-28,2144,35:44,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=zv5_OSb6lRo
120,Daily stand-ups,vpAW3j5zbX0,23,1,0,20200721,2020-07-21,1834,30:34,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=vpAW3j5zbX0
121,https://github.com/2DegreesInvesting/ds-incubator/issues/50,JXfEWLZXwXY,4,,0,20200707,2020-07-07,1847,30:47,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=JXfEWLZXwXY
122,Failing fast in dplyr chains,3rf1W9ceKhU,5,,0,20200630,2020-06-30,1387,23:07,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=3rf1W9ceKhU
123,Setting expectations for open source participation: reprex,_y_vnRM19lc,8,,0,20200623,2020-06-23,1839,30:39,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=_y_vnRM19lc
124,RStudio Team: Demo and discussion,F7JiD7oT4P8,709,5,1,20200616,2020-06-16,1746,29:06,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=F7JiD7oT4P8
